feature,importance
mean_per_side_B3,0.19463008337018325
naive_sum_B3,0.15052943243911415
max_per_side_B3,0.09461731683960943
mean_per_side_B1,0.09117826189230797
mean_per_side_B2,0.08362077318015211
mean_per_side_B4,0.07545187241444135
naive_sum_B4,0.07241453392022766
naive_sum_B2,0.07236774214974567
naive_sum_B1,0.06303927742746872
max_per_side_B2,0.039444032151997384
max_per_side_B1,0.031018161254278864
max_per_side_B4,0.029535762731849824
n_sides,0.0021527502286236857
