,naive_sum_B1,naive_sum_B2,naive_sum_B3,naive_sum_B4,max_per_side_B1,max_per_side_B2,max_per_side_B3,max_per_side_B4,mean_per_side_B1,mean_per_side_B2,mean_per_side_B3,mean_per_side_B4,n_sides
B1,0.20675069,-0.00035016224,-0.05743924,-0.0008227094,0.20808443,-0.008230896,-0.008002331,0.012240922,0.62597185,0.03678012,0.047228996,0.005164491,-0.0061787777
B2,0.024394665,0.26950985,-0.09448866,-0.0011528673,0.020179246,0.33627978,0.046181746,0.031306323,0.027625222,0.9852621,0.030074654,-0.023940086,-0.014750464
B3,0.034639463,-0.04399998,0.67574674,-0.077820554,0.04810545,-0.024413185,0.5238567,0.048645683,0.013572818,0.091290414,1.0995809,0.054483406,-0.0056782803
B4,0.0041138213,-0.024844484,0.09486229,0.5456187,-0.013863675,-0.014724111,0.0062014987,0.49020255,0.023871874,0.030759135,-0.059024535,0.71218246,0.0055662873
