features,model,strategy,n_dim,train_trees,test_trees,macro,joint,mae,acc_B1,acc_B2,acc_B3,acc_B4,mae_B1,mae_B2,mae_B3,mae_B4,bias_B1,bias_B2,bias_B3,bias_B4
F0,LR,train_only,13,716,141,0.7570921985815603,0.3049645390070922,1.0478723404255321,0.9645390070921985,0.7943262411347518,0.5531914893617021,0.7163120567375887,0.36879432624113473,1.0567375886524824,1.5460992907801419,1.2198581560283688,0.014184397163120567,-0.06382978723404255,-0.14184397163120568,0.05673758865248227
F0,SVM,train_only,13,716,141,0.74822695035461,0.2907801418439716,1.0425531914893615,0.9574468085106383,0.7659574468085106,0.5531914893617021,0.7163120567375887,0.3829787234042553,1.0354609929078014,1.5602836879432624,1.1914893617021276,0.014184397163120567,-0.5815602836879432,-0.28368794326241137,-0.3120567375886525
F0,RF,train_only,13,716,141,0.7322695035460993,0.2695035460992908,1.1099290780141842,0.9574468085106383,0.7375886524822695,0.5602836879432624,0.6737588652482269,0.3829787234042553,1.1560283687943262,1.6170212765957446,1.2836879432624113,0.028368794326241134,-0.16312056737588654,-0.22695035460992907,0.12056737588652482
F0,Ridge,train_only,13,716,141,0.7606382978723404,0.28368794326241137,1.0531914893617023,0.9574468085106383,0.8014184397163121,0.5602836879432624,0.723404255319149,0.36879432624113473,1.0851063829787233,1.5460992907801419,1.2127659574468086,0.028368794326241134,-0.03546099290780142,-0.1276595744680851,-0.0070921985815602835
F0,ElasticNet,train_only,13,716,141,0.7641843971631206,0.2978723404255319,1.0425531914893615,0.9645390070921985,0.8014184397163121,0.5602836879432624,0.7304964539007093,0.3475177304964539,1.0780141843971631,1.5390070921985815,1.2056737588652482,0.0070921985815602835,-0.05673758865248227,-0.1347517730496454,0.0
F0,LR,train_val,13,812,141,0.7641843971631206,0.2978723404255319,1.0443262411347518,0.9645390070921985,0.8014184397163121,0.5673758865248227,0.723404255319149,0.3617021276595745,1.0780141843971631,1.5106382978723405,1.2269503546099292,0.0070921985815602835,-0.028368794326241134,-0.16312056737588654,0.0070921985815602835
F0,SVM,train_val,13,812,141,0.74822695035461,0.2978723404255319,1.0425531914893618,0.9574468085106383,0.7730496453900709,0.5460992907801419,0.7163120567375887,0.375886524822695,1.0354609929078014,1.5602836879432624,1.198581560283688,0.0070921985815602835,-0.5673758865248227,-0.28368794326241137,-0.3333333333333333
F0,RF,train_val,13,812,141,0.7464539007092199,0.28368794326241137,1.0921985815602837,0.9787234042553191,0.7588652482269503,0.574468085106383,0.6737588652482269,0.3617021276595745,1.1134751773049645,1.6170212765957446,1.2765957446808511,-0.0070921985815602835,-0.14893617021276595,-0.2127659574468085,0.09929078014184398
F0,Ridge,train_val,13,812,141,0.7641843971631206,0.3049645390070922,1.0372340425531914,0.9645390070921985,0.8014184397163121,0.5531914893617021,0.7375886524822695,0.3617021276595745,1.0567375886524824,1.524822695035461,1.2056737588652482,0.02127659574468085,-0.02127659574468085,-0.10638297872340426,-0.05673758865248227
F0,ElasticNet,train_val,13,812,141,0.7641843971631206,0.3049645390070922,1.0336879432624113,0.9645390070921985,0.8014184397163121,0.5602836879432624,0.7304964539007093,0.3475177304964539,1.0638297872340425,1.5177304964539007,1.2056737588652482,0.0070921985815602835,-0.014184397163120567,-0.11347517730496454,-0.0425531914893617
F0+conf,LR,train_only,33,716,141,0.7411347517730498,0.2765957446808511,1.072695035460993,0.9645390070921985,0.7801418439716312,0.48936170212765956,0.7304964539007093,0.375886524822695,1.049645390070922,1.6666666666666667,1.198581560283688,0.0070921985815602835,-0.05673758865248227,-0.2198581560283688,0.09219858156028368
F0+conf,SVM,train_only,33,716,141,0.7411347517730497,0.2765957446808511,1.053191489361702,0.9645390070921985,0.75177304964539,0.5390070921985816,0.7092198581560284,0.3971631205673759,1.0283687943262412,1.5815602836879432,1.2056737588652482,-0.028368794326241134,-0.5460992907801419,-0.3049645390070922,-0.3262411347517731
F0+conf,RF,train_only,33,716,141,0.7429078014184397,0.2978723404255319,1.0673758865248226,0.9645390070921985,0.7659574468085106,0.5602836879432624,0.6808510638297872,0.3900709219858156,1.0354609929078014,1.553191489361702,1.2907801418439717,-0.04964539007092199,-0.09929078014184398,-0.1773049645390071,0.11347517730496454
F0+conf,Ridge,train_only,33,716,141,0.7588652482269503,0.2978723404255319,1.0585106382978724,0.9645390070921985,0.7943262411347518,0.5319148936170213,0.7446808510638298,0.3829787234042553,1.0638297872340425,1.5957446808510638,1.1914893617021276,0.014184397163120567,-0.0425531914893617,-0.1347517730496454,-0.014184397163120567
F0+conf,ElasticNet,train_only,33,716,141,0.7624113475177305,0.2978723404255319,1.0567375886524824,0.9716312056737588,0.8156028368794326,0.5177304964539007,0.7446808510638298,0.36879432624113473,1.0567375886524824,1.5886524822695036,1.2127659574468086,0.014184397163120567,-0.04964539007092199,-0.14184397163120568,0.02127659574468085
F0+conf,LR,train_val,33,812,141,0.7464539007092198,0.2765957446808511,1.0656028368794326,0.9645390070921985,0.8014184397163121,0.49645390070921985,0.723404255319149,0.3900709219858156,1.0354609929078014,1.6382978723404256,1.198581560283688,-0.02127659574468085,-0.07092198581560284,-0.23404255319148937,0.06382978723404255
F0+conf,SVM,train_val,33,812,141,0.7411347517730495,0.2624113475177305,1.0301418439716312,0.9645390070921985,0.7730496453900709,0.5319148936170213,0.6950354609929078,0.375886524822695,0.9645390070921985,1.5957446808510638,1.1843971631205674,-0.03546099290780142,-0.5673758865248227,-0.2765957446808511,-0.3475177304964539
F0+conf,RF,train_val,33,812,141,0.7535460992907801,0.2978723404255319,1.0709219858156027,0.9645390070921985,0.7730496453900709,0.5957446808510638,0.6808510638297872,0.41843971631205673,1.0354609929078014,1.5177304964539007,1.3120567375886525,-0.04964539007092199,-0.09929078014184398,-0.15602836879432624,0.12056737588652482
F0+conf,Ridge,train_val,33,812,141,0.7570921985815602,0.28368794326241137,1.053191489361702,0.9645390070921985,0.7943262411347518,0.5319148936170213,0.7375886524822695,0.3900709219858156,1.0638297872340425,1.5602836879432624,1.198581560283688,0.02127659574468085,-0.0425531914893617,-0.14184397163120568,-0.02127659574468085
F0+conf,ElasticNet,train_val,33,812,141,0.7624113475177305,0.2978723404255319,1.053191489361702,0.9645390070921985,0.8156028368794326,0.5177304964539007,0.75177304964539,0.375886524822695,1.049645390070922,1.5886524822695036,1.198581560283688,0.02127659574468085,-0.014184397163120567,-0.1276595744680851,0.0070921985815602835
F0+spatial,LR,train_only,21,716,141,0.7606382978723404,0.2907801418439716,1.0425531914893615,0.9645390070921985,0.8014184397163121,0.5531914893617021,0.723404255319149,0.3475177304964539,1.0638297872340425,1.5673758865248226,1.1914893617021276,0.0070921985815602835,-0.09929078014184398,-0.09219858156028368,0.028368794326241134
F0+spatial,SVM,train_only,21,716,141,0.74822695035461,0.2978723404255319,1.0390070921985817,0.9574468085106383,0.7872340425531915,0.5531914893617021,0.6950354609929078,0.3829787234042553,0.9858156028368794,1.5602836879432624,1.2269503546099292,0.014184397163120567,-0.5319148936170213,-0.28368794326241137,-0.2624113475177305
F0+spatial,RF,train_only,21,716,141,0.7358156028368794,0.28368794326241137,1.072695035460993,0.9574468085106383,0.7588652482269503,0.5460992907801419,0.6808510638297872,0.41134751773049644,1.0567375886524824,1.574468085106383,1.24822695035461,0.0425531914893617,-0.16312056737588654,-0.1276595744680851,0.11347517730496454
F0+spatial,Ridge,train_only,21,716,141,0.7659574468085106,0.3049645390070922,1.0460992907801419,0.9574468085106383,0.8156028368794326,0.5531914893617021,0.7375886524822695,0.375886524822695,1.049645390070922,1.5460992907801419,1.2127659574468086,0.02127659574468085,-0.07092198581560284,-0.1276595744680851,0.02127659574468085
F0+spatial,ElasticNet,train_only,21,716,141,0.7677304964539007,0.3120567375886525,1.0390070921985817,0.9645390070921985,0.8156028368794326,0.5673758865248227,0.723404255319149,0.3546099290780142,1.0567375886524824,1.5177304964539007,1.2269503546099292,0.014184397163120567,-0.06382978723404255,-0.15602836879432624,0.03546099290780142
F0+spatial,LR,train_val,21,812,141,0.7588652482269503,0.2907801418439716,1.0443262411347518,0.9645390070921985,0.8156028368794326,0.5319148936170213,0.723404255319149,0.3475177304964539,1.049645390070922,1.5815602836879432,1.198581560283688,0.02127659574468085,-0.0851063829787234,-0.16312056737588654,0.0070921985815602835
F0+spatial,SVM,train_val,21,812,141,0.7446808510638298,0.2907801418439716,1.0425531914893615,0.9645390070921985,0.7943262411347518,0.5390070921985816,0.6808510638297872,0.36879432624113473,0.9929078014184397,1.5886524822695036,1.2198581560283688,0.014184397163120567,-0.5390070921985816,-0.28368794326241137,-0.28368794326241137
F0+spatial,RF,train_val,21,812,141,0.7375886524822695,0.28368794326241137,1.0656028368794326,0.9574468085106383,0.7659574468085106,0.5602836879432624,0.6666666666666666,0.41134751773049644,1.0425531914893618,1.5673758865248226,1.2411347517730495,0.028368794326241134,-0.19148936170212766,-0.12056737588652482,0.07801418439716312
F0+spatial,Ridge,train_val,21,812,141,0.7624113475177305,0.2907801418439716,1.053191489361702,0.9645390070921985,0.8226950354609929,0.5319148936170213,0.7304964539007093,0.36879432624113473,1.0638297872340425,1.574468085106383,1.2056737588652482,0.014184397163120567,-0.0425531914893617,-0.14184397163120568,-0.028368794326241134
F0+spatial,ElasticNet,train_val,21,812,141,0.7659574468085106,0.3120567375886525,1.0514184397163122,0.9645390070921985,0.8156028368794326,0.5602836879432624,0.723404255319149,0.3617021276595745,1.070921985815603,1.524822695035461,1.24822695035461,0.0070921985815602835,-0.03546099290780142,-0.14893617021276595,-0.014184397163120567
F0+distrib,LR,train_only,33,716,141,0.7588652482269503,0.2907801418439716,1.0585106382978724,0.9645390070921985,0.8014184397163121,0.5460992907801419,0.723404255319149,0.3829787234042553,1.0354609929078014,1.5957446808510638,1.2198581560283688,0.028368794326241134,-0.11347517730496454,-0.1347517730496454,0.0851063829787234
F0+distrib,SVM,train_only,33,716,141,0.7375886524822695,0.2907801418439716,1.0638297872340425,0.9574468085106383,0.7588652482269503,0.5673758865248227,0.6666666666666666,0.425531914893617,1.0354609929078014,1.574468085106383,1.2198581560283688,0.0,-0.5106382978723404,-0.3262411347517731,-0.24113475177304963
F0+distrib,RF,train_only,33,716,141,0.7269503546099291,0.2765957446808511,1.0833333333333333,0.9574468085106383,0.7446808510638298,0.5460992907801419,0.6595744680851063,0.4326241134751773,1.049645390070922,1.5815602836879432,1.2695035460992907,0.06382978723404255,-0.14184397163120568,-0.3049645390070922,0.1347517730496454
F0+distrib,Ridge,train_only,33,716,141,0.74822695035461,0.28368794326241137,1.0602836879432624,0.9574468085106383,0.7872340425531915,0.524822695035461,0.723404255319149,0.3617021276595745,1.0567375886524824,1.624113475177305,1.198581560283688,0.02127659574468085,-0.07801418439716312,-0.14893617021276595,0.03546099290780142
F0+distrib,ElasticNet,train_only,33,716,141,0.7535460992907801,0.2907801418439716,1.0567375886524824,0.9645390070921985,0.7943262411347518,0.5319148936170213,0.723404255319149,0.3546099290780142,1.0567375886524824,1.6099290780141844,1.2056737588652482,0.014184397163120567,-0.06382978723404255,-0.1347517730496454,0.05673758865248227
