,naive_sum_B1,naive_sum_B2,naive_sum_B3,naive_sum_B4,max_per_side_B1,max_per_side_B2,max_per_side_B3,max_per_side_B4,mean_per_side_B1,mean_per_side_B2,mean_per_side_B3,mean_per_side_B4,n_sides
B1,-0.049888197,-0.019251645,-0.13666086,-0.006338006,0.13972881,-0.026574843,-0.02931435,0.010351753,0.9741076,0.06886481,0.13982557,0.0059738113,0.080419414
B2,0.24886887,0.116506755,-0.019800222,0.1600777,0.009299405,0.24727622,0.07185754,0.040915985,-0.1826294,1.2625904,-0.040985942,-0.19285214,-0.09464675
B3,0.13730057,-0.26913655,0.6677348,-0.43088773,0.08937761,-0.075061455,0.4660379,0.05510632,-0.12480752,0.35981187,1.2122978,0.4025025,0.072167546
B4,-0.13083337,-0.2638429,0.17450567,0.24946114,-0.03818459,-0.03779171,0.034438513,0.46628997,0.17045346,0.27308738,-0.15744008,1.0676113,0.11273612
