,naive_sum_B1,naive_sum_B2,naive_sum_B3,naive_sum_B4,max_per_side_B1,max_per_side_B2,max_per_side_B3,max_per_side_B4,mean_per_side_B1,mean_per_side_B2,mean_per_side_B3,mean_per_side_B4,n_sides
B1,0.108786136,-0.035919547,0.17438668,0.034028642,-0.00090155005,0.15137997,0.08441028,0.05723811,0.749498,-0.10428973,-0.1965652,-0.12360571,-0.10081823
B2,-0.5450114,0.3202173,0.055832937,0.37253186,0.38830116,-0.045349777,0.28917322,-0.13706644,0.34378898,0.2679174,-0.076610014,-0.336282,-0.018458776
B3,-0.3233846,0.75446,-0.39638215,0.9044038,0.06612712,-0.019511044,0.03512378,0.35162234,0.19497642,-0.8296701,1.3537979,-0.7893985,0.19823627
B4,-1.0395538,0.019493103,-1.0313381,0.3891472,-0.17457438,0.049674913,0.361338,0.41707635,1.228626,-0.2366331,0.6408761,0.0134466365,0.4633512
