threshold,features,model,test_detections,acc_B1,mae_B1,rmse_B1,bias_B1,acc_B2,mae_B2,rmse_B2,bias_B2,acc_B3,mae_B3,rmse_B3,bias_B3,acc_B4,mae_B4,rmse_B4,bias_B4,macro,mae,rmse,joint,exact,total_mae,total_rmse,total_bias,total_acc
0.25,F0,ElasticNet,2354.0,0.9645390070921985,0.3475177304964539,0.6468691647559471,0.0070921985815602835,0.8014184397163121,1.0780141843971631,1.48753687599562,-0.05673758865248227,0.5602836879432624,1.5390070921985815,1.973225030572184,-0.1347517730496454,0.7304964539007093,1.2056737588652482,1.624283802892963,0.0,0.7641843971631206,1.0425531914893615,1.4329787185541785,0.2978723404255319,0.0070921985815602835,1.8865248226950355,2.3997635817361154,-0.18439716312056736,0.48226950354609927
0.25,F0,Ridge,2354.0,0.9574468085106383,0.36879432624113473,0.6737215368532151,0.028368794326241134,0.8014184397163121,1.0851063829787233,1.4803679818552304,-0.03546099290780142,0.5602836879432624,1.5460992907801419,1.9533568124844556,-0.1276595744680851,0.723404255319149,1.2127659574468086,1.6220991565742413,-0.0070921985815602835,0.7606382978723404,1.0531914893617023,1.4323863719417855,0.28368794326241137,0.0,1.929078014184397,2.4086133852730107,-0.14184397163120568,0.48226950354609927
0.25,F_all,Ridge,2354.0,0.9716312056737588,0.36879432624113473,0.6523280730534422,0.014184397163120567,0.8297872340425532,1.0141843971631206,1.4366035595229614,-0.07801418439716312,0.574468085106383,1.553191489361702,1.983978380115559,-0.1773049645390071,0.723404255319149,1.2056737588652482,1.5978709238739224,0.07092198581560284,0.774822695035461,1.0354609929078014,1.4176952341414712,0.3262411347517731,0.014184397163120567,1.7872340425531914,2.256590034002695,-0.1702127659574468,0.48936170212765956
0.3,F0,ElasticNet,1860.0,0.9574468085106383,0.3900709219858156,0.689331056143954,-0.0070921985815602835,0.7730496453900709,1.127659574468085,1.5088392043822467,-0.06382978723404255,0.5460992907801419,1.574468085106383,2.0386339467384342,-0.18439716312056736,0.6666666666666666,1.2765957446808511,1.7217836702362461,-0.0425531914893617,0.7358156028368794,1.0921985815602837,1.4896469693752203,0.2765957446808511,0.0070921985815602835,2.0851063829787235,2.6417273523691502,-0.2978723404255319,0.3971631205673759
0.3,F0,Ridge,1860.0,0.9574468085106383,0.3900709219858156,0.7096098218674683,-0.02127659574468085,0.7730496453900709,1.127659574468085,1.5088392043822467,-0.06382978723404255,0.5531914893617021,1.574468085106383,2.049044060112834,-0.15602836879432624,0.6595744680851063,1.2695035460992907,1.7073059529625252,-0.03546099290780142,0.7358156028368794,1.0904255319148937,1.4936997598312685,0.2765957446808511,0.0070921985815602835,2.106382978723404,2.6430693526347127,-0.2765957446808511,0.3829787234042553
0.3,F_all,Ridge,1860.0,0.9645390070921985,0.3829787234042553,0.6944562646748168,-0.014184397163120567,0.7943262411347518,1.1063829787234043,1.5017720029805357,-0.09929078014184398,0.5390070921985816,1.5886524822695036,2.0455799087595103,-0.1276595744680851,0.6737588652482269,1.297872340425532,1.723841989764073,-0.02127659574468085,0.7429078014184396,1.0939716312056738,1.491412541544734,0.2765957446808511,0.0070921985815602835,2.106382978723404,2.667109892243843,-0.2624113475177305,0.40425531914893614
0.35,F0,ElasticNet,1490.0,0.9645390070921985,0.3900709219858156,0.6789645850863051,-0.03546099290780142,0.7730496453900709,1.1347517730496455,1.5344738280850587,-0.0851063829787234,0.524822695035461,1.6312056737588652,2.100320813049877,-0.15602836879432624,0.6312056737588653,1.3617021276595744,1.7745242095313227,0.14184397163120568,0.7234042553191489,1.1294326241134751,1.5220708589381409,0.23404255319148937,0.014184397163120567,2.2624113475177303,2.869502143785833,-0.1347517730496454,0.3971631205673759
0.35,F0,Ridge,1490.0,0.9645390070921985,0.3971631205673759,0.6841674549282352,-0.0425531914893617,0.7730496453900709,1.1347517730496455,1.5344738280850587,-0.0851063829787234,0.5106382978723404,1.6453900709219857,2.1238263342072816,-0.14184397163120568,0.6312056737588653,1.3617021276595744,1.7745242095313227,0.14184397163120568,0.7198581560283688,1.1347517730496455,1.5292479566879746,0.22695035460992907,0.014184397163120567,2.269503546099291,2.887979489524622,-0.1276595744680851,0.41134751773049644
0.35,F_all,Ridge,1490.0,0.9645390070921985,0.3900709219858156,0.6995439243733446,-0.03546099290780142,0.7872340425531915,1.1418439716312057,1.5596871844941143,-0.10638297872340426,0.5035460992907801,1.673758865248227,2.150375194048077,-0.09929078014184398,0.6666666666666666,1.3404255319148937,1.7524046295920366,0.04964539007092199,0.7304964539007092,1.1365248226950353,1.5405027331268932,0.23404255319148937,0.0070921985815602835,2.24822695035461,2.80450498786334,-0.19148936170212766,0.3971631205673759
0.4,F0,ElasticNet,1223.0,0.9574468085106383,0.3900709219858156,0.7096098218674683,-0.06382978723404255,0.7588652482269503,1.148936170212766,1.5574119284549022,-0.11347517730496454,0.49645390070921985,1.7092198581560283,2.1717071756426067,-0.10638297872340426,0.5390070921985816,1.4609929078014185,1.833494512579619,0.1702127659574468,0.6879432624113475,1.1773049645390072,1.568055859636149,0.20567375886524822,0.0,2.49645390070922,3.130721712275991,-0.11347517730496454,0.3546099290780142
0.4,F0,Ridge,1223.0,0.9574468085106383,0.375886524822695,0.6995439243733446,-0.04964539007092199,0.7730496453900709,1.148936170212766,1.5482774688560756,-0.1276595744680851,0.48936170212765956,1.7092198581560283,2.174970448971827,-0.1347517730496454,0.5602836879432624,1.4326241134751774,1.814050755035253,0.14184397163120568,0.6950354609929078,1.1666666666666667,1.5592106493091251,0.2198581560283688,0.0,2.482269503546099,3.117099943334764,-0.1702127659574468,0.3617021276595745
0.4,F_all,Ridge,1223.0,0.9574468085106383,0.3971631205673759,0.7145896010104964,-0.05673758865248227,0.7375886524822695,1.1702127659574468,1.5822598077720296,-0.09219858156028368,0.475177304964539,1.7588652482269505,2.2376532793490505,-0.11347517730496454,0.6099290780141844,1.4042553191489362,1.802283815150824,0.0851063829787234,0.6950354609929077,1.1826241134751774,1.5841966258206002,0.19858156028368795,0.0070921985815602835,2.4893617021276597,3.122782901459112,-0.1773049645390071,0.3546099290780142
0.5,F0,ElasticNet,799.0,0.9432624113475178,0.375886524822695,0.7389853116132565,-0.1347517730496454,0.723404255319149,1.2411347517730495,1.6220991565742413,-0.10638297872340426,0.48936170212765956,1.7943262411347518,2.2455630010065097,-0.02127659574468085,0.5106382978723404,1.5390070921985815,1.9111468466613302,0.12056737588652482,0.6666666666666666,1.2375886524822695,1.6294485789638342,0.1773049645390071,0.0,2.6950354609929077,3.3833132445338694,-0.14184397163120568,0.3262411347517731
0.5,F0,Ridge,799.0,0.9361702127659575,0.3971631205673759,0.762600999007963,-0.11347517730496454,0.723404255319149,1.2411347517730495,1.6220991565742413,-0.10638297872340426,0.48936170212765956,1.8156028368794326,2.259730731464128,-0.0851063829787234,0.5106382978723404,1.5460992907801419,1.913001429190555,0.11347517730496454,0.6648936170212766,1.25,1.639358079059222,0.1702127659574468,0.0,2.74468085106383,3.4404766286990114,-0.19148936170212766,0.3262411347517731
0.5,F_all,Ridge,799.0,0.9574468085106383,0.3829787234042553,0.7244464749279004,-0.09929078014184398,0.75177304964539,1.2269503546099292,1.5911991998543178,-0.06382978723404255,0.48936170212765956,1.851063829787234,2.29553992474522,0.0070921985815602835,0.5177304964539007,1.574468085106383,1.931449314349385,0.1702127659574468,0.6790780141843973,1.2588652482269505,1.6356587284692057,0.2127659574468085,0.0,2.75177304964539,3.4042109926192152,0.014184397163120567,0.3120567375886525
0.6,F0,ElasticNet,434.0,0.9574468085106383,0.425531914893617,0.7532435771547095,-0.22695035460992907,0.5673758865248227,1.3404255319148937,1.7279512732819984,0.1347517730496454,0.5460992907801419,1.7801418439716312,2.341424673899654,-0.16312056737588654,0.5035460992907801,1.5390070921985815,1.9222475025326233,0.04964539007092199,0.6436170212765957,1.271276595744681,1.6862167567172464,0.1773049645390071,0.0070921985815602835,2.9148936170212765,3.603583716640544,-0.20567375886524822,0.28368794326241137
0.6,F0,Ridge,434.0,0.9574468085106383,0.41134751773049644,0.74376843799781,-0.2127659574468085,0.6950354609929078,1.2765957446808511,1.6885093514065102,-0.1702127659574468,0.5460992907801419,1.7659574468085106,2.314003009738322,-0.14893617021276595,0.49645390070921985,1.5460992907801419,1.927773860373044,0.05673758865248227,0.6737588652482269,1.25,1.6685136648789216,0.2127659574468085,0.014184397163120567,2.8439716312056738,3.5699693067397416,-0.475177304964539,0.3262411347517731
0.6,F_all,Ridge,434.0,0.9574468085106383,0.3971631205673759,0.7341710238075196,-0.15602836879432624,0.7092198581560284,1.2198581560283688,1.654566001246934,-0.1276595744680851,0.5460992907801419,1.7943262411347518,2.3474748769416767,-0.10638297872340426,0.5106382978723404,1.5460992907801419,1.9351177873875869,0.0851063829787234,0.6808510638297872,1.2393617021276597,1.6678324223459293,0.22695035460992907,0.014184397163120567,2.8156028368794326,3.4997466980275314,-0.3049645390070922,0.3262411347517731
0.7,F0,ElasticNet,125.0,0.9432624113475178,0.6879432624113475,0.9109265799407509,0.23404255319148937,0.574468085106383,1.297872340425532,1.6567078351549587,0.20567375886524822,0.524822695035461,1.8085106382978724,2.371521341919002,0.0070921985815602835,0.5106382978723404,1.5673758865248226,1.9332844210002493,0.03546099290780142,0.6382978723404256,1.3404255319148937,1.7181100445037403,0.1702127659574468,0.0,3.148936170212766,3.93024280555773,0.48226950354609927,0.24822695035460993
