class,gt_appearances,detections,true_positive,missed,class_confused,false_positive_bg,recall,precision,localised_recall,unique_bunches
B1,252,281,172,47,33,58,0.6825396825396826,0.6120996441281139,0.8134920634920635,120
B2,496,341,126,161,209,158,0.2540322580645161,0.36950146627565983,0.6754032258064516,256
B3,1409,1492,850,494,65,393,0.603264726756565,0.5697050938337802,0.6493967352732435,745
B4,455,240,104,262,89,97,0.22857142857142856,0.43333333333333335,0.42417582417582417,283
