features,n_dim,split_macro,split_joint,split_mae,cv_macro_mean,cv_macro_std,cv_joint_mean,cv_joint_std,cv_mae_mean,cv_mae_std
F0,13,0.7606382978723404,0.28368794326241137,1.0531914893617023,0.7269592198581561,0.02353731664977067,0.27340425531914897,0.05399468689649924,1.1182047872340426,0.058564348719339084
F0+conf,33,0.7588652482269503,0.2978723404255319,1.0585106382978724,0.7326374113475177,0.02364196889163983,0.2649113475177305,0.0651018644907581,1.10875,0.05624135560231754
F0+spatial,21,0.7659574468085106,0.3049645390070922,1.0460992907801419,0.7265203900709222,0.02367537425960896,0.26319148936170217,0.055483293725090914,1.1165248226950355,0.05817586185249021
F0+distrib,33,0.74822695035461,0.28368794326241137,1.0602836879432624,0.7289095744680851,0.019636906294823366,0.26070921985815604,0.05569895136300579,1.11582890070922,0.06351199069839543
F0+conf+spatial,41,0.7624113475177305,0.2907801418439716,1.0585106382978724,0.7239893617021278,0.024644235714691536,0.24796099290780144,0.061619719864844026,1.1191134751773049,0.056878317318156964
F0+conf+distrib,53,0.7641843971631206,0.2978723404255319,1.0602836879432624,0.7258909574468086,0.02021808023598983,0.2538475177304964,0.0496982499953095,1.113346631205674,0.04993013268936465
F0+distrib+spatial,41,0.7570921985815603,0.3049645390070922,1.047872340425532,0.7233909574468086,0.023314360692907547,0.2454787234042553,0.05739149949243273,1.122034574468085,0.062431122110528904
F_all,67,0.774822695035461,0.3262411347517731,1.0354609929078014,0.7233510638297872,0.020793682953287144,0.25303191489361704,0.04537772513515925,1.1260948581560282,0.057064981471916326
