source,class,mean,std
fixed detector,B1,0.4423180636235459,0.062204473912622626
fixed detector,B2,0.4356808018249925,0.06913525500849656
fixed detector,B3,0.38810975816009646,0.0770108913396451
fixed detector,B4,0.32439759353703074,0.07724679908580714
ground truth,B1,0.43998458469387763,0.06647907035392606
ground truth,B2,0.4338075054696652,0.06318930930397165
ground truth,B3,0.3888623819074124,0.07899454696230812
ground truth,B4,0.33001916558152955,0.08510356266163238
