condition,model,tree_load,n_trees,mean_gt_total,macro,joint,mae
fixed,LR,low,37,4.8108108108108105,0.7770270270270271,0.32432432432432434,0.8986486486486487
fixed,LR,mid,47,9.27659574468085,0.7819148936170213,0.3617021276595745,1.047872340425532
fixed,LR,high,57,13.859649122807017,0.7236842105263157,0.24561403508771928,1.1447368421052633
fixed,Ridge,low,37,4.8108108108108105,0.7837837837837839,0.32432432432432434,0.8918918918918919
fixed,Ridge,mid,47,9.27659574468085,0.7872340425531915,0.3404255319148936,1.047872340425532
fixed,Ridge,high,57,13.859649122807017,0.7236842105263157,0.21052631578947367,1.162280701754386
fixed,ElasticNet,low,37,4.8108108108108105,0.7837837837837839,0.32432432432432434,0.8783783783783785
fixed,ElasticNet,mid,47,9.27659574468085,0.7925531914893617,0.3617021276595745,1.047872340425532
fixed,ElasticNet,high,57,13.859649122807017,0.7280701754385965,0.22807017543859648,1.1447368421052633
fixed,SVM,low,37,4.8108108108108105,0.7770270270270271,0.35135135135135137,0.8040540540540541
fixed,SVM,mid,47,9.27659574468085,0.776595744680851,0.3191489361702128,1.0159574468085106
fixed,SVM,high,57,13.859649122807017,0.7061403508771931,0.22807017543859648,1.219298245614035
fixed,RF,low,37,4.8108108108108105,0.7702702702702703,0.40540540540540543,0.9527027027027027
fixed,RF,mid,47,9.27659574468085,0.7393617021276595,0.2127659574468085,1.0638297872340425
fixed,RF,high,57,13.859649122807017,0.7017543859649124,0.22807017543859648,1.25
gt,LR,low,37,4.8108108108108105,1.0,1.0,0.1891891891891892
gt,LR,mid,47,9.27659574468085,0.9574468085106382,0.8297872340425532,0.28191489361702127
gt,LR,high,57,13.859649122807017,0.9736842105263158,0.8947368421052632,0.3289473684210526
gt,Ridge,low,37,4.8108108108108105,1.0,1.0,0.19594594594594594
gt,Ridge,mid,47,9.27659574468085,0.9574468085106382,0.8297872340425532,0.28191489361702127
gt,Ridge,high,57,13.859649122807017,0.9780701754385964,0.9122807017543859,0.3201754385964912
gt,ElasticNet,low,37,4.8108108108108105,1.0,1.0,0.19594594594594594
gt,ElasticNet,mid,47,9.27659574468085,0.9627659574468085,0.851063829787234,0.2712765957446809
gt,ElasticNet,high,57,13.859649122807017,0.9824561403508771,0.9298245614035088,0.33333333333333337
gt,SVM,low,37,4.8108108108108105,1.0,1.0,0.16216216216216217
gt,SVM,mid,47,9.27659574468085,0.9680851063829787,0.8723404255319149,0.2872340425531915
gt,SVM,high,57,13.859649122807017,0.9736842105263157,0.8947368421052632,0.3157894736842105
gt,RF,low,37,4.8108108108108105,0.9797297297297297,0.918918918918919,0.22972972972972974
gt,RF,mid,47,9.27659574468085,0.9574468085106382,0.8297872340425532,0.3723404255319149
gt,RF,high,57,13.859649122807017,0.9473684210526316,0.8070175438596491,0.4473684210526316
