epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3264.48,1.59225,1.20866,1.32003,0.50065,0.59575,0.51733,0.2366,1.93886,1.46516,1.59005,0.000404375,0.000404375,0.000404375
43,3341.69,1.5727,1.17808,1.31096,0.49983,0.58204,0.52136,0.23936,1.93302,1.45552,1.58406,0.00038375,0.00038375,0.00038375
44,3419.39,1.5738,1.17023,1.31501,0.52816,0.54399,0.51631,0.232,1.94134,1.45944,1.60747,0.000363125,0.000363125,0.000363125
45,3496.62,1.56313,1.17018,1.31352,0.5183,0.57115,0.52156,0.23682,1.94663,1.46733,1.60854,0.0003425,0.0003425,0.0003425
46,3573.78,1.55985,1.15485,1.30274,0.52983,0.54151,0.5158,0.23352,1.95759,1.45949,1.60843,0.000321875,0.000321875,0.000321875
47,3651.21,1.53519,1.12661,1.29904,0.52295,0.56969,0.52279,0.2314,1.97208,1.46233,1.6333,0.00030125,0.00030125,0.00030125
48,3728.43,1.53298,1.11549,1.28729,0.49464,0.58324,0.50753,0.22465,1.99447,1.48692,1.63352,0.000280625,0.000280625,0.000280625
49,3805.67,1.51834,1.09316,1.28165,0.52523,0.54641,0.50887,0.22853,1.97363,1.47389,1.62615,0.00026,0.00026,0.00026
50,3882.9,1.52171,1.09115,1.28815,0.50169,0.57211,0.50577,0.22718,1.98678,1.49144,1.64434,0.000239375,0.000239375,0.000239375
51,3964.89,1.51945,1.08042,1.33985,0.4932,0.57732,0.50061,0.21681,2.01043,1.487,1.6577,0.00021875,0.00021875,0.00021875
52,4041.81,1.49134,1.04523,1.31425,0.52509,0.55019,0.50017,0.22055,2.00478,1.46859,1.65812,0.000198125,0.000198125,0.000198125
53,4118.62,1.47757,1.02269,1.30955,0.48767,0.57991,0.50579,0.22897,1.99122,1.47004,1.6445,0.0001775,0.0001775,0.0001775
54,4195.53,1.46656,1.01347,1.30994,0.50764,0.56645,0.50294,0.22122,2.00307,1.46963,1.67257,0.000156875,0.000156875,0.000156875
55,4272.68,1.45875,0.99096,1.30002,0.50668,0.57656,0.50249,0.22023,2.00854,1.48541,1.65706,0.00013625,0.00013625,0.00013625
56,4350.02,1.43558,0.98154,1.289,0.50058,0.55752,0.49341,0.21293,2.0244,1.50783,1.68159,0.000115625,0.000115625,0.000115625
57,4427.5,1.42368,0.96272,1.28547,0.52321,0.55429,0.50169,0.217,2.00692,1.48801,1.67652,9.5e-05,9.5e-05,9.5e-05
58,4504.31,1.41362,0.94432,1.27263,0.49459,0.58278,0.49644,0.21453,2.01626,1.51223,1.67427,7.4375e-05,7.4375e-05,7.4375e-05
59,4581.42,1.40647,0.9325,1.27662,0.49496,0.581,0.49196,0.21218,2.03388,1.5062,1.69875,5.375e-05,5.375e-05,5.375e-05
60,4658.94,1.39203,0.92007,1.26574,0.48763,0.58535,0.49433,0.21351,2.03726,1.51504,1.69982,3.3125e-05,3.3125e-05,3.3125e-05
